"extra_id","time","prog","id","y"
"1",0,1,1,7.50552371739991
"1.1",1,1,1,7.60606144394738
"1.2",2,1,1,9.34337794174583
"1.3",3,1,1,10.1314246172622
"1.4",4,1,1,11.2042525660338
"1.5",5,1,1,12.8810160060772
"2",0,0,2,7.39999761579115
"2.1",1,0,2,8.25779265179091
"2.2",2,0,2,7.86980617629732
"2.3",3,0,2,9.15868016243666
"2.4",4,0,2,9.9502308335932
"2.5",5,0,2,9.93559124708437
"3",0,0,3,7.15143879098368
"3.1",1,0,3,7.03615188104296
"3.2",2,0,3,7.52616278199267
"3.3",3,0,3,8.13795917355155
"3.4",4,0,3,9.45172844033835
"3.5",5,0,3,9.50692318711415
"4",0,0,4,6.87684809156251
"4.1",1,0,4,7.30981204126712
"4.2",2,0,4,7.50257154308067
"4.3",3,0,4,7.95271511581876
"4.4",4,0,4,8.00141960776038
"4.5",5,0,4,8.91377851725453
"5",0,0,5,7.87580527504222
"5.1",1,0,5,7.77707597974052
"5.2",2,0,5,8.79291133129376
"5.3",3,0,5,8.60523193923101
"5.4",4,0,5,9.43524531698384
"5.5",5,0,5,9.17834235527437
"6",0,0,6,7.36954070192343
"6.1",1,0,6,7.58324907021705
"6.2",2,0,6,8.78243515884409
"6.3",3,0,6,8.38793923363124
"6.4",4,0,6,9.00948196793487
"6.5",5,0,6,9.29358202422477
"7",0,1,7,4.78645039111106
"7.1",1,1,7,6.83884431872631
"7.2",2,1,7,8.04320134264785
"7.3",3,1,7,9.82450828789221
"7.4",4,1,7,10.4022227357869
"7.5",5,1,7,11.4569195589263
"8",0,1,8,7.32374063248556
"8.1",1,1,8,8.00626875108176
"8.2",2,1,8,9.92639032141134
"8.3",3,1,8,11.4585225748278
"8.4",4,1,8,12.5363817049475
"8.5",5,1,8,13.3404762288613
"9",0,0,9,6.95315655336226
"9.1",1,0,9,7.54051464921847
"9.2",2,0,9,6.29153797084425
"9.3",3,0,9,7.61592594380898
"9.4",4,0,9,7.78799361495136
"9.5",5,0,9,8.14021268668298
"10",0,0,10,3.40782890674091
"10.1",1,0,10,5.08650277122705
"10.2",2,0,10,5.59642350244044
"10.3",3,0,10,4.59422143777091
"10.4",4,0,10,5.79203049602794
"10.5",5,0,10,5.96677702002859
"11",0,0,11,5.35563301554065
"11.1",1,0,11,6.3374478559972
"11.2",2,0,11,6.95177291725827
"11.3",3,0,11,7.35650115920935
"11.4",4,0,11,8.33810414888081
"11.5",5,0,11,7.50874683071136
"12",0,0,12,6.60252732804528
"12.1",1,0,12,5.85732828758443
"12.2",2,0,12,6.0837490377063
"12.3",3,0,12,6.32269996032667
"12.4",4,0,12,8.51325436713108
"12.5",5,0,12,8.57251495879359
"13",0,1,13,5.47239827235623
"13.1",1,1,13,7.62122927727871
"13.2",2,1,13,9.86577531724235
"13.3",3,1,13,10.607705858501
"13.4",4,1,13,12.516358973579
"13.5",5,1,13,12.9673732739263
"14",0,1,14,4.70510812343089
"14.1",1,1,14,6.39385884922511
"14.2",2,1,14,6.98387998645068
"14.3",3,1,14,8.17133508836602
"14.4",4,1,14,9.52828464132327
"14.5",5,1,14,11.8740890408293
"15",0,0,15,5.84603044976501
"15.1",1,0,15,5.39816504181245
"15.2",2,0,15,6.23652131958772
"15.3",3,0,15,6.52390341913747
"15.4",4,0,15,6.89588744896779
"15.5",5,0,15,7.3421136313077
"16",0,0,16,5.73493185066792
"16.1",1,0,16,5.28320714646183
"16.2",2,0,16,6.05404473814833
"16.3",3,0,16,7.03482054393831
"16.4",4,0,16,7.46282787453541
"16.5",5,0,16,8.05399783786187
"17",0,0,17,6.44469793047215
"17.1",1,0,17,7.7717723398337
"17.2",2,0,17,8.64089064519012
"17.3",3,0,17,7.50906432348008
"17.4",4,0,17,8.37696882064518
"17.5",5,0,17,9.69670742057596
"18",0,1,18,7.85358353155472
"18.1",1,1,18,9.30219823440359
"18.2",2,1,18,10.2582147852534
"18.3",3,1,18,11.8194108050275
"18.4",4,1,18,12.5378001898304
"18.5",5,1,18,13.906540760082
"19",0,1,19,6.95905696970419
"19.1",1,1,19,7.65387891090465
"19.2",2,1,19,9.24492611059583
"19.3",3,1,19,9.0903879902422
"19.4",4,1,19,11.8424300448301
"19.5",5,1,19,13.5732180004549
"20",0,0,20,5.70721689561343
"20.1",1,0,20,6.48328679619805
"20.2",2,0,20,6.58787790003019
"20.3",3,0,20,6.80734384009274
"20.4",4,0,20,7.51959075966284
"20.5",5,0,20,7.50476516687229
"21",0,0,21,6.94615183046639
"21.1",1,0,21,6.99023059438563
"21.2",2,0,21,6.65458384225852
"21.3",3,0,21,8.64234430691221
"21.4",4,0,21,7.87308269121716
"21.5",5,0,21,8.97049475861435
"22",0,1,22,7.66374462254327
"22.1",1,1,22,9.56602518203694
"22.2",2,1,22,10.4976032300892
"22.3",3,1,22,11.6479045004294
"22.4",4,1,22,11.3243820635314
"22.5",5,1,22,14.4180995683365
"23",0,0,23,6.30374794679516
"23.1",1,0,23,6.20468548744941
"23.2",2,0,23,8.07263183176497
"23.3",3,0,23,7.97056817845837
"23.4",4,0,23,7.01693015625813
"23.5",5,0,23,7.91436163950691
"24",0,0,24,6.65706784867579
"24.1",1,0,24,5.77146191608745
"24.2",2,0,24,7.16034268018415
"24.3",3,0,24,7.23966097996182
"24.4",4,0,24,7.54001345888116
"24.5",5,0,24,8.2360247694472
"25",0,1,25,6.31626695744623
"25.1",1,1,25,6.22946444666395
"25.2",2,1,25,7.16075180257922
"25.3",3,1,25,9.96642075844361
"25.4",4,1,25,10.6124515356702
"25.5",5,1,25,11.7527773368117
"26",0,1,26,5.41522588360413
"26.1",1,1,26,6.61753753953047
"26.2",2,1,26,6.38360265520725
"26.3",3,1,26,8.33003958599594
"26.4",4,1,26,9.36281172174836
"26.5",5,1,26,10.658178707903
